username,comment
afrhnl,Selain fasilitas tempat ada fasilitas lain yg bisa mewadahi mahasiswa nya ga min?
fakhrimihs,perpusnya bagusğŸ‘
debbyarr_,unit kesehatan nya punya fasilitas lengkap min?
alqossam00,Uks nya belum ada perawat nya min
aldrsyah06,lahan parkir nya luas gak min?
coklatmil0oo,Mini market nya ada yg jaga ga ya ka? Soalnya mau ke sana tapi tutup terus
ftumj,@debbyarr_ untuk pertolongan pertama sudah lengkap kak
ftumj,@afrhnl untuk fasilitas selain tempat untuk minat bakat ada Komunitas kak.. untuk akademik ada himpunan per prodi
ftumj,@aldrsyah06 luas kak..
ftumj,ğŸ‘
ftumj,@coklatmil0oo untuk jam operasional nya jam 9-12 lanjut lagi jam 13-15 kak... K
shrlyftr_,Gym nya kurang besar min
ftumj,@shrlyftr_ iya kak konsepnya mini gym ğŸ˜Š
titaindahs_,Mini gym buka hari apa aja min?
ftumj,@titaindahs_ senin sampai jumat jam 08.00 - 16.00 kak..
najwajihan_,perpustakaan nya bagus tapi saran saya lebih bagus lagi untuk di filter ulang buku2 yang sudah lama di ganti dengan buku2 keluaran baru..
frmnsy16,"Ada ketentuan buat peminjaman ruang podcast ga ya, kemudian peminjaman ruangan sudah termasuk peminjaman alat alat yang ada di dalam ruangan kah?"
mrafli.fata,Di ruang podcast bahas apa aja min ?
ftumj,@frmnsy16 dapat mengirimkan permohonan ke BKA ya kak dan seluruh alat boleh digunakan tetapi diawasi oleh operator dari fakultas. Dan untuk operasionalnya jam 08.00-16.00 pada senin sampai jumat ya kak
ftumj,@najwajihan_ baik terimakasih kak untuk sarannya ğŸ™ğŸ»
sonnyfahmi_w,Minim nya fasilitas dalam ruangan kelas
ghymar01_,Bahas fasilitas yang ada di Prodi Teknik Mesin dong min.
ftumj,@mrafli.fata sejauh ini baru himpunan kak yang memakai podcast untuk podcast fakultas masih coming soon ya kak mohon di tunggu
ftumj,@sonnyfahmi_w terima kasih atas masukannya..
ftumj,@ghymar01_ siap.. di tunggu aja ya kak...
destimalik,Almamater â¤ï¸
